"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","9/165","39/9521",0.230769230769231,13.3160839160839,10.2345866456949,1.53821704294719e-08,2.54505001651262e-07,1.86941210004108e-07,"10840/10841/635/27232/875/4522/1491/6470/23743",9,"Downres_DEq_MS_BM2_vs_BDM"
"hsa00590","Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","10/165","63/9521",0.158730158730159,9.15921115921116,8.62847673342806,1.07789604345446e-07,1.63480899923927e-06,1.20081401332208e-06,"1558/3248/1559/1571/247/8529/1557/1555/145482/11283",10,"Downres_DEq_MS_BM2_vs_BDM"
"hsa00270","Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","9/165","52/9521",0.173076923076923,9.98706293706294,8.62944244207359,2.20207177871405e-07,3.08290049019967e-06,2.26447867122821e-06,"635/27232/875/6898/26227/1491/3939/23743/1036",9,"Downres_DEq_MS_BM2_vs_BDM"
"hsa04922","Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","12/165","107/9521",0.11214953271028,6.471367884452,7.55815942839006,2.93464248235947e-07,3.81503522706731e-06,2.80225259593724e-06,"2998/5256/32/5257/2203/5261/3939/5836/5105/5211/5207/2645",12,"Downres_DEq_MS_BM2_vs_BDM"
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","13/165","138/9521",0.0942028985507246,5.43579270970575,6.97036094345528,7.17119276459007e-07,8.70104722103595e-06,6.39116828844168e-06,"5313/2998/5256/32/5257/2194/2203/5261/5836/5105/5507/90673/2645",13,"Downres_DEq_MS_BM2_vs_BDM"
"hsa00030","Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","7/165","31/9521",0.225806451612903,13.0297165200391,8.90878491245759,7.65818806734463e-07,8.71118892660452e-06,6.39861766153137e-06,"230/2203/229/9104/2821/5211/414328",7,"Downres_DEq_MS_BM2_vs_BDM"
"hsa04978","Organismal Systems","Digestive system","hsa04978","Mineral absorption","9/165","61/9521",0.147540983606557,8.51356184798808,7.81772797519621,9.08329556091189e-07,9.72446936521156e-06,7.14290115316291e-06,"7018/4495/4496/4494/4502/4493/475/4501/486",9,"Downres_DEq_MS_BM2_vs_BDM"
"hsa00983","Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","9/165","81/9521",0.111111111111111,6.41144781144781,6.49509229027268,1.01623172685852e-05,0.000102752319049029,7.54745200649313e-05,"1806/51733/7498/2944/1571/1807/1548/2938/1549",9,"Downres_DEq_MS_BM2_vs_BDM"
"hsa05204","Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","8/165","71/9521",0.112676056338028,6.50174989329919,6.17916018179107,2.88867369840489e-05,0.000276704533215627,0.000203247401494416,"1558/2944/1559/1571/1548/1557/2938/1549",8,"Downres_DEq_MS_BM2_vs_BDM"
"hsa04964","Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","5/165","23/9521",0.217391304347826,12.5441370223979,7.36079373517574,3.84477139191523e-05,0.000349874196664286,0.000256992614091176,"5105/27165/10991/8671/486",5,"Downres_DEq_MS_BM2_vs_BDM"
"hsa00500","Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","6/165","40/9521",0.15,8.65545454545454,6.44301651134246,5.82733699865399e-05,0.000505035873216679,0.000370963307683737,"178/2998/5836/2821/57733/2645",6,"Downres_DEq_MS_BM2_vs_BDM"
"hsa00260","Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","6/165","41/9521",0.146341463414634,8.44434589800443,6.34351021625114,6.72928907052892e-05,0.000556695732198302,0.000408908953089556,"635/27232/875/26227/1491/6470",6,"Downres_DEq_MS_BM2_vs_BDM"
"hsa00380","Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","6/165","42/9521",0.142857142857143,8.24329004329004,6.24733218956448,7.73928352007118e-05,0.000612412869849111,0.000449834785834801,"64577/316/1644/125061/130013/23498",6,"Downres_DEq_MS_BM2_vs_BDM"
"hsa04981","Organismal Systems","Digestive system","hsa04981","Folate transport and metabolism","5/165","31/9521",0.161290322580645,9.3069403714565,6.15182784454143,0.000173558221873787,0.00131614984920955,0.00096674974464785,"635/4522/6470/23743/11309",5,"Downres_DEq_MS_BM2_vs_BDM"
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","7/165","76/9521",0.0921052631578947,5.31475279106858,5.01507085266324,0.000331100065317244,0.00234325355434457,0.00172118682129416,"10998/1582/5105/2168/116519/123/345",7,"Downres_DEq_MS_BM2_vs_BDM"
"hsa01240","Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","10/165","154/9521",0.0649350649350649,3.74695001967729,4.56379572919466,0.00033475050776351,0.00234325355434457,0.00172118682129416,"122622/4522/210/554235/125061/55191/6470/9104/23498/8630",10,"Downres_DEq_MS_BM2_vs_BDM"
"hsa00071","Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","5/165","43/9521",0.116279069767442,6.70965468639887,4.98311670759828,0.000831605993019882,0.00560564039739328,0.00411750335725243,"126/130/125/127/124",5,"Downres_DEq_MS_BM2_vs_BDM"
