"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa00140","Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","13/309","64/9521",0.203125,6.25874797734628,7.73065691357341,1.02058944689294e-07,2.50508318782812e-06,2.05094529997624e-06,"1109/1576/6718/9420/3290/1571/7366/6716/7367/51478/1544/8630/1581",13,"Downres_DEq_MS_CM_vs_BD"
"hsa00620","Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","11/309","47/9521",0.234042553191489,7.21138883150864,7.81792869171975,2.16091296054296e-07,4.86205416122167e-06,3.9806291378423e-06,"134526/5313/126/125/32/55902/127/10327/3939/130/124",11,"Downres_DEq_MS_CM_vs_BD"
"hsa00983","Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","14/309","81/9521",0.172839506172839,5.32558232450358,7.16014543174098,2.74943762961106e-07,5.7103704614999e-06,4.67515710298237e-06,"51733/1806/1576/2944/7498/1807/1548/1571/2938/7366/2948/2941/7367/1549",14,"Downres_DEq_MS_CM_vs_BD"
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","10/309","39/9521",0.256410256410256,7.90058916272509,7.90841131967054,3.0890870407642e-07,5.9575250071881e-06,4.87750585383821e-06,"10840/27232/6470/635/10841/4522/1491/875/23743/1719",10,"Downres_DEq_MS_CM_vs_BD"
"hsa00030","Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","9/309","31/9521",0.290322580645161,8.94550579392421,8.11502829887103,3.81974863034787e-07,6.87554753462617e-06,5.62910324472318e-06,"230/229/5211/2821/5236/414328/9104/64080/2203",9,"Downres_DEq_MS_CM_vs_BD"
"hsa04979","Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","11/309","51/9521",0.215686274509804,6.64578970746875,7.40381477854926,5.26163020930131e-07,8.87900097819596e-06,7.26935752600839e-06,"55908/64241/350/341/344/64240/8647/1593/345/4018/1581",11,"Downres_DEq_MS_CM_vs_BD"
"hsa00270","Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","11/309","52/9521",0.211538461538462,6.5179860592482,7.30719945268838,6.48258768964456e-07,1.00064146468179e-05,8.19238626055264e-06,"27232/635/3939/26227/1491/875/6898/883/23743/1036/55256",11,"Downres_DEq_MS_CM_vs_BD"
"hsa00590","Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","12/309","63/9521",0.19047619047619,5.86900909231006,7.10120343840917,6.67094309787857e-07,1.00064146468179e-05,8.19238626055264e-06,"3248/2053/1559/1571/145482/1558/1557/8529/113612/1555/242/6916",12,"Downres_DEq_MS_CM_vs_BD"
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","14/309","88/9521",0.159090909090909,4.9019564577817,6.73472065895904,7.90186130778494e-07,1.12289608057996e-05,9.19330124451433e-06,"3827/2158/5627/2161/2160/10878/1361/4153/731/3080/735/729/10877/713",14,"Downres_DEq_MS_CM_vs_BD"
"hsa00350","Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","9/309","37/9521",0.243243243243243,7.49488323274731,7.24931858765467,1.9849312324473e-06,2.67965716380386e-05,2.1938713621786e-05,"1644/126/316/125/127/130/6898/124/4282",9,"Downres_DEq_MS_CM_vs_BD"
"hsa04981","Organismal Systems","Digestive system","hsa04981","Folate transport and metabolism","8/309","31/9521",0.258064516129032,7.95156070571041,7.0998767493565,4.62109544577509e-06,5.94140843028225e-05,4.86431099555272e-05,"6470/635/11309/4522/10599/23743/1719/28234",8,"Downres_DEq_MS_CM_vs_BD"
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","12/309","76/9521",0.157894736842105,4.86509964230966,6.19565546163282,5.31381176390979e-06,6.52149625570748e-05,5.33923670057922e-05,"6342/116519/6319/9415/123/1582/2168/1593/345/10998/3158/1581",12,"Downres_DEq_MS_CM_vs_BD"
"hsa01240","Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","17/309","154/9521",0.11038961038961,3.40135754213424,5.50221652977903,9.79565290376067e-06,0.000114992447131104,9.41458631482719e-05,"122622/6470/554235/125061/10327/55191/4351/4522/210/23498/4338/7366/9104/5372/1719/7367/8630",17,"Downres_DEq_MS_CM_vs_BD"
"hsa04922","Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","13/309","107/9521",0.121495327102804,3.74355019205759,5.22683091263155,4.01552033002791e-05,0.00045174603712814,0.000369850556713097,"32/5207/5211/3939/5256/5257/5836/5261/2645/2203/2998/6514/23235",13,"Downres_DEq_MS_CM_vs_BD"
