"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D8CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8CM_vs_D1C"
-0.853225470000002,13.3289145225,-39.6732352821459,1.29726258800774e-09,7.57726126618683e-08,13.0026383324005,"MPRI_HUMAN",109,55.2696462556222,4.56279773886353e-11,5.12797628545076e-09,0.853225470000002,"Up in D8CM",8.2900539918983,"IGF2R","MPRI_HUMAN",-0.853225470000002
0.919689175000002,12.4636363975,40.8539916117359,1.05380780455118e-09,6.59103461001606e-08,13.2249339113986,"MY18A_HUMAN",121,-55.1445619481706,4.64082253649858e-11,5.14703857370349e-09,-0.919689175000002,"Up in D1C",8.28844257698321,"MYO18A","MY18A_HUMAN",0.919689175000002
-1.274387595,13.6744178525,-47.6898274534972,3.51779098601564e-10,3.67782092608899e-08,14.383764308065,"BGH3_HUMAN",36,54.6883799750746,4.93846688345562e-11,5.37908486272121e-09,1.274387595,"Up in D8CM",8.26929160405041,"TGFBI","BGH3_HUMAN",-1.274387595
-1.1157517425,13.97917199125,-46.7572819746377,4.0468440725653e-10,3.88065834189114e-08,14.2372879131122,"CHDH_HUMAN",33,54.6212230357842,4.98408526823946e-11,5.37908486272121e-09,1.1157517425,"Up in D8CM",8.26929160405041,"CHDH","CHDH_HUMAN",-1.1157517425
-1.403755425,10.901656985,-47.3092540670854,3.72355211892559e-10,3.73640723933616e-08,14.3243915513671,"LIMC1_HUMAN",55,54.5376889561204,5.04149607491963e-11,5.37908486272121e-09,1.403755425,"Up in D8CM",8.26929160405041,"LIMCH1","LIMC1_HUMAN",-1.403755425
-1.07797575,10.978741645,-44.7402669945525,5.53294918277389e-10,4.66372286616012e-08,13.908608686771,"PTPRK_HUMAN",45,54.3656285590355,5.16212569335574e-11,5.43894468366194e-09,1.07797575,"Up in D8CM",8.26448535811856,"PTPRK","PTPRK_HUMAN",-1.07797575
-1.6879620535,10.48754191325,-50.4974257497268,2.34411921843729e-10,2.94904192421014e-08,14.8053549019414,"APBA1_HUMAN",25,53.7220359551674,5.64325013851928e-11,5.87246363179988e-09,1.6879620535,"Up in D8CM",8.23117966413018,"APBA1","APBA1_HUMAN",-1.6879620535
-1.02711797,13.5853387125,-42.0096751374834,8.6473855068983e-10,5.7991703503905e-08,13.4356605570807,"MYLK_HUMAN",99,53.4706615679992,5.84481133405317e-11,6.00803838228466e-09,1.02711797,"Up in D8CM",8.22126730150968,"MYLK","MYLK_HUMAN",-1.02711797
1.089827775,12.1189812425,42.5586270329058,7.88699633469794e-10,5.62264051900678e-08,13.5334852696485,"SPTN2_HUMAN",127,-53.2659468853851,6.01499718611543e-11,6.10848328695987e-09,-1.089827775,"Up in D1C",8.21406661003135,"SPTBN2","SPTN2_HUMAN",1.089827775
-1.42451811,17.12460637,-48.9646909490399,2.91726186177292e-10,3.25088235050593e-08,14.5787064735651,"PDLI1_HUMAN",26,53.0281448500987,6.21978005290447e-11,6.194696729359e-09,1.42451811,"Up in D8CM",8.20797995030323,"PDLIM1","PDLI1_HUMAN",-1.42451811
-1.6401598475,13.51949584625,-52.3742686313566,1.80921428771705e-10,2.74368928918623e-08,15.0720566643475,"CBPQ_HUMAN",18,52.9973450482887,6.2468765214796e-11,6.194696729359e-09,1.6401598475,"Up in D8CM",8.20797995030323,"CPQ","CBPQ_HUMAN",-1.6401598475
-2.615094185,10.08985281,-51.3931560098517,2.06911053784315e-10,2.81298914894837e-08,14.9340823288256,"FBLI1_HUMAN",20,52.8965416741529,6.33649907010678e-11,6.21050589092209e-09,2.615094185,"Up in D8CM",8.20687302193496,"FBLIM1","FBLI1_HUMAN",-2.615094185
-2.06680989375,10.191203475625,-49.408281287884,2.73641387857547e-10,3.20350452534897e-08,14.6451493614471,"EHD2_HUMAN",29,52.3704272069319,6.82856476399125e-11,6.58513845766037e-09,2.06680989375,"Up in D8CM",8.18143508922677,"EHD2","EHD2_HUMAN",-2.06680989375
-1.9536366475,11.62282180625,-48.2756832256377,3.22586744451137e-10,3.53127749218005e-08,14.4740943248633,"HKDC1_HUMAN",46,52.3230288992348,6.87498142453568e-11,6.58513845766037e-09,1.9536366475,"Up in D8CM",8.18143508922677,"HKDC1","HKDC1_HUMAN",-1.9536366475
-1.6740489,13.1442122475,-60.4615782494878,6.52671571819838e-11,1.52815796635262e-08,16.101982473745,"CSRP2_HUMAN",12,52.121373226327,7.07649766347161e-11,6.70199986577553e-09,1.6740489,"Up in D8CM",8.17379558519859,"CSRP2","CSRP2_HUMAN",-1.6740489
-0.897529360749997,10.300095914625,-44.1166908701857,6.11204724432352e-10,4.86023077569839e-08,13.8035464575883,"PLCD1_HUMAN",27,51.5119775485308,7.72734108835394e-11,7.2370842259706e-09,0.897529360749997,"Up in D8CM",8.14043637297828,"PLCD1","PLCD1_HUMAN",-0.897529360749997
1.7952330125,11.27675354625,48.1759853783935,3.27353446028531e-10,3.53751563663396e-08,14.4588128778152,"ZN622_HUMAN",26,-51.0634001728417,8.24985474072165e-11,7.64154127577394e-09,-1.7952330125,"Up in D1C",8.11681903670514,"ZNF622","ZN622_HUMAN",1.7952330125
-1.499438045,11.375573515,-47.4436542615903,3.64935868453741e-10,3.73640723933616e-08,14.3454222805409,"ATTY_HUMAN",25,50.6952048470945,8.70876814872774e-11,7.791092207064e-09,1.499438045,"Up in D8CM",8.10840165577398,"TAT","ATTY_HUMAN",-1.499438045
