"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D2B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
3.20952606175,9.403059244125,51.0917483069038,1.68758287445197e-10,6.18462436902418e-08,15.1124776298848,"MIME_HUMAN",10,50.2702993979455,5.66189059198169e-11,1.6297968621133e-08,3.20952606175,"Up in D2B",7.78786652268868,"OGN","MIME_HUMAN"
1.0187647375,10.63193762375,42.8447500546884,5.98472824155909e-10,1.36338579319194e-07,13.8757012392808,"LIMC1_HUMAN",55,50.2485564460361,5.68073095635134e-11,1.6297968621133e-08,1.0187647375,"Up in D2B",7.78786652268868,"LIMCH1","LIMC1_HUMAN"
1.5492520325,12.40851187875,47.4477078034211,2.87357296049055e-10,8.06136641646071e-08,14.599977741533,"FA10_HUMAN",25,50.1120140088616,5.80067693242367e-11,1.6297968621133e-08,1.5492520325,"Up in D2B",7.78786652268868,"F10","FA10_HUMAN"
4.9969773295,10.72003030775,47.4123163073218,2.88903502689709e-10,8.06136641646071e-08,14.5947524374734,"PGBM_HUMAN",175,49.3433877999069,6.53166687355665e-11,1.77598129281319e-08,4.9969773295,"Up in D2B",7.75056161314683,"HSPG2","PGBM_HUMAN"
-0.6970725075,11.29599881125,-40.9452719492171,8.29017070868176e-10,1.74694622258696e-07,13.5480525608811,"ASNS_HUMAN",27,-47.3709747652104,8.93388388457805e-11,2.35324085197214e-08,-0.6970725075,"Up in D1CM",7.62833362092029,"ASNS","ASNS_HUMAN"
0.764043810000004,16.4706778525,36.604393005858,1.85390517359995e-09,2.58734707760707e-07,12.725090168019,"CO3_HUMAN",118,46.9758850175458,9.52711208553017e-11,2.43345538693739e-08,0.764043810000004,"Up in D2B",7.61377661136192,"C3","CO3_HUMAN"
2.41116142025,9.898180244875,44.4087690859911,4.62507974714964e-10,1.16211129806158e-07,14.1323261319462,"QSOX1_HUMAN",23,46.1211120070556,1.09692073377935e-10,2.65490344035924e-08,2.41116142025,"Up in D2B",7.57595126971688,"QSOX1","QSOX1_HUMAN"
1.40530896,11.9464360475,44.3259001640927,4.68760044300556e-10,1.16211129806158e-07,14.1190127534684,"PDCD4_HUMAN",21,46.0340361918137,1.11294644855769e-10,2.65490344035924e-08,1.40530896,"Up in D2B",7.57595126971688,"PDCD4","PDCD4_HUMAN"
0.782797335,12.93874836,38.6520436922413,1.25419706227987e-09,2.24246288438213e-07,13.1270147727855,"PCKGC_HUMAN",38,45.9222916842697,1.13390110158895e-10,2.65490344035924e-08,0.782797335,"Up in D2B",7.57595126971688,"PCK1","PCKGC_HUMAN"
1.1296832575,14.75311553375,41.7054114824631,7.26378692828718e-10,1.61122263206665e-07,13.6813606811477,"KLKB1_HUMAN",31,45.5881532445488,1.19926695075173e-10,2.73205976429361e-08,1.1296832575,"Up in D2B",7.5635098046175,"KLKB1","KLKB1_HUMAN"
1.155106305,13.751321435,46.2655935571145,3.44522197878674e-10,9.07493001849794e-08,14.4227000694349,"FBX2_HUMAN",16,45.258946291292,1.26785987220997e-10,2.81231338496258e-08,1.155106305,"Up in D2B",7.55093628614988,"FBXO2","FBX2_HUMAN"
-1.9774005425,13.59609687375,-48.5727990502764,2.42784260432019e-10,7.87087896608265e-08,14.7635235244694,"ISG20_HUMAN",10,-44.9838524305554,1.32858809681952e-10,2.87145360720302e-08,-1.9774005425,"Up in D1CM",7.54189819602864,"ISG20","ISG20_HUMAN"
