"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D3BM_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8C_vs_D3BM"
-0.796319727499998,14.37934696625,-37.2559226114472,1.87570401634313e-09,2.67971341589088e-07,12.7145736716898,"MYO1C_HUMAN",72,52.8408706613821,4.96350947841561e-11,1.49419362119876e-08,0.796319727499998,"Up in D8C",7.82559312195184,"MYO1C","MYO1C_HUMAN",-0.796319727499998
-0.796687840000001,13.463178755,-37.6886082177853,1.72771930518259e-09,2.51085276265242e-07,12.7998565184857,"ITAV_HUMAN",56,52.290356135602,5.37367606358805e-11,1.54475283738227e-08,0.796687840000001,"Up in D8C",7.8111409984061,"ITGAV","ITAV_HUMAN",-0.796687840000001
3.240298988,10.4110151535,49.8644217361856,2.350769815081e-10,7.07665670404205e-08,14.8074030651968,"APOA4_HUMAN",29,-52.1328418348995,5.49799325204270e-11,1.54475283738227e-08,-3.240298988,"Up in D3BM",7.8111409984061,"APOA4","APOA4_HUMAN",3.240298988
-0.695791479999997,11.7653919475,-36.7683904451317,2.06003713532355e-09,2.73311871742214e-07,12.6170869969119,"S12A4_HUMAN",39,51.5580857808638,5.98002287601856e-11,1.58380869479151e-08,0.695791479999997,"Up in D8C",7.8002972771745,"SLC12A4","S12A4_HUMAN",-0.695791479999997
1.4923741825,15.70324575875,51.2614395340662,1.93032197256509e-10,6.77945162781299e-08,14.9980761941739,"NDRG1_HUMAN",18,-51.5209238532247,6.01279846165955e-11,1.58380869479151e-08,-1.4923741825,"Up in D3BM",7.8002972771745,"NDRG1","NDRG1_HUMAN",1.4923741825
-0.834645032499996,12.00577938625,-36.7304879669661,2.07521174415727e-09,2.73311871742214e-07,12.6094451750997,"FAT1_HUMAN",154,51.2593933512498,6.24929222340366e-11,1.59622073185059e-08,0.834645032499996,"Up in D8C",7.79690705283726,"FAT1","FAT1_HUMAN",-0.834645032499996
2.39037728325,10.724629998375,46.5946494536741,3.81258500893061e-10,9.73826637584125e-08,14.3330497525007,"TRFL_HUMAN",45,-49.7820303168123,7.80010634608383e-11,1.93373812915119e-08,-2.39037728325,"Up in D3BM",7.71360233933522,"LTF","TRFL_HUMAN",2.39037728325
3.5450367925,16.01422238375,46.9564830203962,3.60803331314808e-10,9.50378524891412e-08,14.3875878813335,"FIBB_HUMAN",43,-49.1790945611261,8.5547789700191e-11,2.06023519823688e-08,-3.5450367925,"Up in D3BM",7.68608319736594,"FGB","FIBB_HUMAN",3.5450367925
2.44392109,11.5219161525,73.3978016045706,1.48939035491576e-11,2.50767675813314e-08,17.3068880197368,"F13A_HUMAN",7,-48.1449724791799,1.00496876739563e-10,2.27882452398246e-08,-2.44392109,"Up in D3BM",7.64228911545156,"F13A1","F13A_HUMAN",2.44392109
0.746448755000001,10.7788146725,34.3432773591134,3.3471152205936e-09,3.69515940758207e-07,12.1089191564777,"SORL_HUMAN",72,-48.0099624081542,1.02658315982792e-10,2.27882452398246e-08,-0.746448755000001,"Up in D3BM",7.64228911545156,"SORL1","SORL_HUMAN",0.746448755000001
-1.48666810825,9.932244538375,-44.6188645971564,5.1921090846948e-10,1.15169177565506e-07,14.0256138706604,"FLRT3_HUMAN",26,48.0052316757153,1.02735000487998e-10,2.27882452398246e-08,1.48666810825,"Up in D8C",7.64228911545156,"FLRT3","FLRT3_HUMAN",-1.48666810825
1.6894493125,12.56399488375,44.6244244715585,5.18750061244358e-10,1.15169177565506e-07,14.0265025829808,"OAT_HUMAN",22,-46.7120817247206,1.26350421286305e-10,2.6660664986869e-08,-1.6894493125,"Up in D3BM",7.57412902234429,"OAT","OAT_HUMAN",1.6894493125
-0.856981277500001,10.70543694625,-40.9340903823416,9.59491867278988e-10,1.75816455419448e-07,13.4048846175487,"GLSK_HUMAN",25,46.7038736802084,1.26518756611076e-10,2.6660664986869e-08,0.856981277500001,"Up in D8C",7.57412902234429,"GLS","GLSK_HUMAN",-0.856981277500001
-1.4319596275,16.06238961125,-42.4087154448493,7.45685903395871e-10,1.46171778598228e-07,13.6611513870424,"TPM4_HUMAN",30,46.2907642053282,1.35328067991373e-10,2.78214703682751e-08,1.4319596275,"Up in D8C",7.55561992121839,"TPM4","TPM4_HUMAN",-1.4319596275
-1.8362011925,12.96375179375,-50.4110070249397,2.17493315470201e-10,7.07665670404205e-08,14.8828184131035,"CAV1_HUMAN",12,45.1496744760946,1.63494207759351e-10,3.28117304096087e-08,1.8362011925,"Up in D8C",7.48397086539183,"CAV1","CAV1_HUMAN",-1.8362011925
4.22558474325,8.973486303375,44.6479960298913,5.16801430043612e-10,1.15169177565506e-07,14.030268835425,"MIME_HUMAN",10,-44.2466233657098,1.90529424284867e-10,3.62293787533204e-08,-4.22558474325,"Up in D3BM",7.44093911300709,"OGN","MIME_HUMAN",4.22558474325
-0.722141269999998,14.8560256975,-35.5297049613056,2.6288420213321e-09,3.2586043232071e-07,12.3625099146496,"LPP_HUMAN",31,44.1854252485279,1.92537143819525e-10,3.62293787533204e-08,0.722141269999998,"Up in D8C",7.44093911300709,"LPP","LPP_HUMAN",-0.722141269999998
-1.93231749625,10.527994036875,-43.5648802695941,6.15640319943332e-10,1.29730806420059e-07,13.8546327929557,"TAGL_HUMAN",17,44.0480267851109,1.97132540165191e-10,3.62293787533204e-08,1.93231749625,"Up in D8C",7.44093911300709,"TAGLN","TAGL_HUMAN",-1.93231749625
0.660629037500001,11.80835330375,30.4008446358585,7.9611972235358e-09,5.63330034707848e-07,11.1891399038689,"SPTN2_HUMAN",127,-44.0109204742125,1.98394777035991e-10,3.62293787533204e-08,-0.660629037500001,"Up in D3BM",7.44093911300709,"SPTBN2","SPTN2_HUMAN",0.660629037500001
0.80082369,13.8414714325,34.1790770977959,3.46315018354957e-09,3.70992454408072e-07,12.0730354974906,"CERU_HUMAN",50,-43.6365744098379,2.11653357304906e-10,3.62293787533204e-08,-0.80082369,"Up in D3BM",7.44093911300709,"CP","CERU_HUMAN",0.80082369
-2.2023324975,13.27986598125,-45.0373320069215,4.85792102105834e-10,1.15169177565506e-07,14.0921232808054,"IL18_HUMAN",13,43.6095417407347,2.12648947333832e-10,3.62293787533204e-08,2.2023324975,"Up in D8C",7.44093911300709,"IL18","IL18_HUMAN",-2.2023324975
-1.3775537,15.897408605,-40.3330786941919,1.06608381832483e-09,1.83388173564489e-07,13.2972351229014,"ZYX_HUMAN",27,43.4911477736427,2.17072156960114e-10,3.62293787533204e-08,1.3775537,"Up in D8C",7.44093911300709,"ZYX","ZYX_HUMAN",-1.3775537
-2.95376491625,8.578869820125,-41.8429096556376,8.20561898284786e-10,1.54969257567095e-07,13.5641136000395,"BICC1_HUMAN",24,43.4439799743148,2.18863266275535e-10,3.62293787533204e-08,2.95376491625,"Up in D8C",7.44093911300709,"BICC1","BICC1_HUMAN",-2.95376491625
-0.9814207575,14.47503268625,-37.08834143213,1.93685947768327e-09,2.68030728133217e-07,12.6812324503617,"CAN2_HUMAN",37,43.4349700880882,2.19207298187133e-10,3.62293787533204e-08,0.9814207575,"Up in D8C",7.44093911300709,"CAPN2","CAN2_HUMAN",-0.9814207575
