"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1BM_vs_D5BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-1.9245772375,16.82247376375,-83.4364914184641,5.92437582557424e-12,1.66461943000772e-08,18.2640835939783,"A1AG1_HUMAN",15,-77.6438173503822,2.67734544172944e-12,2.05157679348522e-09,-1.9245772375,"Up in D1BM",8.68791222212252,"ORM1","A1AG1_HUMAN"
1.684409855,12.4689816225,66.042410173513,3.14714528915011e-11,1.67653547933094e-08,16.7766686334717,"PCSK6_HUMAN",46,76.1655235007893,3.09798745514803e-12,2.17607802162023e-09,1.684409855,"Up in D5BM",8.6623255373968,"PCSK6","PCSK6_HUMAN"
-1.3064019675,11.98544823875,-60.094953904644,6.17379917588792e-11,1.84221961460028e-08,16.1370960037868,"AKA12_HUMAN",65,-75.0709160912813,3.45781596921696e-12,2.22791961886564e-09,-1.3064019675,"Up in D1BM",8.65210048213064,"AKAP12","AKA12_HUMAN"
-1.20344162,13.485694885,-63.0751443613833,4.36995748368831e-11,1.67653547933094e-08,16.4676066876689,"CFAB_HUMAN",30,-74.4032732918756,3.70042409112813e-12,2.22791961886564e-09,-1.20344162,"Up in D1BM",8.65210048213064,"CFB","CFAB_HUMAN"
-1.9752752775,12.94860613375,-73.0285147306155,1.53470161478675e-11,1.66461943000772e-08,17.4347245570923,"HMOX1_HUMAN",18,-73.5532859607375,4.03764470979655e-12,2.25113359933121e-09,-1.9752752775,"Up in D1BM",8.64759872990815,"HMOX1","HMOX1_HUMAN"
1.28655767250001,17.21115660625,63.46333563676,4.18264628967709e-11,1.67653547933094e-08,16.5091366942983,"VTNC_HUMAN",29,73.0060549916853,4.27312108070939e-12,2.25113359933121e-09,1.28655767250001,"Up in D5BM",8.64759872990815,"VTN","VTNC_HUMAN"
1.467835665,12.4701961275,63.5981413388147,4.11975278269054e-11,1.67653547933094e-08,16.5234795166588,"PROS_HUMAN",31,71.9692563106452,4.76315037576836e-12,2.36168203043244e-09,1.467835665,"Up in D5BM",8.62677857485305,"PROS1","PROS_HUMAN"
1.8152677975,13.10426509375,60.545008241392,5.85355271712083e-11,1.84221961460028e-08,16.188373279799,"EPIPL_HUMAN",173,69.3701774547155,6.29698901134098e-12,2.8362269699407e-09,1.8152677975,"Up in D5BM",8.547259017548,"EPPK1","EPIPL_HUMAN"
2.552278044,10.7787919055,66.2661006412766,3.07206201215469e-11,1.67653547933094e-08,16.7992066800924,"PEG10_HUMAN",23,69.1924679382716,6.42077166378301e-12,2.8362269699407e-09,2.552278044,"Up in D5BM",8.547259017548,"PEG10","PEG10_HUMAN"
-1.982233285,15.5150784275,-64.7776469345926,3.61313751154173e-11,1.67653547933094e-08,16.6472635253853,"AACT_HUMAN",24,-68.5056126871719,6.92577323169643e-12,2.8362269699407e-09,-1.982233285,"Up in D1BM",8.547259017548,"SERPINA3","AACT_HUMAN"
1.7439823125,11.49531197625,65.0134487039397,3.52059536287149e-11,1.67653547933094e-08,16.6716471837228,"MFGM_HUMAN",22,68.3246869641998,7.06617230617568e-12,2.8362269699407e-09,1.7439823125,"Up in D5BM",8.547259017548,"MFGE8","MFGM_HUMAN"
1.387007714,9.9044091705,72.5498343555237,1.6085130373412e-11,1.66461943000772e-08,17.3924861561573,"KAIN_HUMAN",16,67.2261335858667,7.99107804279507e-12,3.06167258285089e-09,1.387007714,"Up in D5BM",8.51404125487358,"SERPINA4","KAIN_HUMAN"
0.576551200000001,13.3254269375,36.8017368765527,2.03736710086641e-09,1.21794094278036e-07,12.5654899911025,"MPRI_HUMAN",109,66.7985316290547,8.38754285537799e-12,3.07385211860787e-09,0.576551200000001,"Up in D5BM",8.51231703001046,"IGF2R","MPRI_HUMAN"
-1.189600945,16.9181900025,-55.7306735762714,1.05748994518649e-10,2.34567967052025e-08,15.6126145815123,"A1AT_HUMAN",33,-64.91603352325,1.0419344275675e-11,3.65936053748602e-09,-1.189600945,"Up in D1BM",8.43659479966153,"SERPINA1","A1AT_HUMAN"
1.6201257725,16.80892848875,58.70397181742,7.29720413285866e-11,1.9221291761208e-08,15.9754003219679,"CLUS_HUMAN",30,64.2527842378955,1.12637069491422e-11,3.79767143497279e-09,1.6201257725,"Up in D5BM",8.42048261204525,"CLU","CLUS_HUMAN"
1.66964936,12.547879815,60.2159663794561,6.08576931177501e-11,1.84221961460028e-08,16.1509328149608,"HRG_HUMAN",22,63.2033823535859,1.27627064364997e-11,4.04915455129607e-09,1.66964936,"Up in D5BM",8.39263564642396,"HRG","HRG_HUMAN"
1.98751091975,10.505428195125,62.9496675962843,4.43253385517957e-11,1.67653547933094e-08,16.4541099354199,"PRS23_HUMAN",17,63.0690764051118,1.29703610018975e-11,4.04915455129607e-09,1.98751091975,"Up in D5BM",8.39263564642396,"PRSS23","PRS23_HUMAN"
-0.762771847,10.316141964,-43.1355830364196,6.57391047382827e-10,6.51899898634099e-08,13.7579540655753,"TRIPC_HUMAN",64,-61.6596390581878,1.53964093102722e-11,4.43284491645351e-09,-0.762771847,"Up in D1BM",8.3533174622731,"TRIP12","TRIPC_HUMAN"
1.7719786175,15.63416087625,61.4559015138713,5.26161574362315e-11,1.84221961460028e-08,16.2906455722529,"LEG4_HUMAN",17,61.235551354149,1.62240127824276e-11,4.43284491645351e-09,1.7719786175,"Up in D5BM",8.3533174622731,"LGALS4","LEG4_HUMAN"
1.5994064825,13.67267334375,59.3174347918943,6.77527678877788e-11,1.84221961460028e-08,16.0473190356963,"QORX_HUMAN",20,61.2118231780599,1.62717841169445e-11,4.43284491645351e-09,1.5994064825,"Up in D5BM",8.3533174622731,"TP53I3","QORX_HUMAN"
2.549602505,12.9945187575,59.7057668226064,6.46690501966048e-11,1.84221961460028e-08,16.092348218448,"FADS2_HUMAN",18,60.9698774747381,1.67680793122312e-11,4.43284491645351e-09,2.549602505,"Up in D5BM",8.3533174622731,"FADS2","FADS2_HUMAN"
2.067207575,12.2081753,64.9766261700736,3.53486703458801e-11,1.67653547933094e-08,16.6678473149842,"IL18_HUMAN",13,60.7470564476799,1.72403383642739e-11,4.43284491645351e-09,2.067207575,"Up in D5BM",8.3533174622731,"IL18","IL18_HUMAN"
2.32805085,11.437022805,57.8057832913517,8.14619916930985e-11,1.96183750851751e-08,15.8683334101954,"MUC18_HUMAN",25,60.6248025023159,1.75058326171479e-11,4.43284491645351e-09,2.32805085,"Up in D5BM",8.3533174622731,"MCAM","MUC18_HUMAN"
1.220737455,17.78317833,51.2613598656217,1.92012503071978e-10,3.33602709069605e-08,15.0187180604691,"GATM_HUMAN",48,60.4556946404461,1.78807364051987e-11,4.43284491645351e-09,1.220737455,"Up in D5BM",8.3533174622731,"GATM","GATM_HUMAN"
0.99240017000001,16.7576341625,46.1121539800997,4.08540719266687e-10,4.78277208169961e-08,14.2503630848475,"FAS_HUMAN",166,59.856998094893,1.92829321872037e-11,4.50786839939214e-09,0.99240017000001,"Up in D5BM",8.34602877103145,"FASN","FAS_HUMAN"
