"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D2BM_vs_D8CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
2.0375309,11.61073327,101.02990634031,2.20164673847242e-12,3.09294672643067e-09,19.2087238637211,"SFXN3_HUMAN",17,99.1947830325895,7.82990158241776e-13,5.69252284824473e-10,2.0375309,"Up in D8CM",9.24469521756891,"SFXN3","SFXN3_HUMAN"
1.89603615,17.3044729225,88.549561003488,5.56211416619055e-12,4.68830603068201e-09,18.4231050777726,"CLUS_HUMAN",30,98.733993000636,8.10419672309132e-13,5.69252284824473e-10,1.89603615,"Up in D8CM",9.24469521756891,"CLU","CLUS_HUMAN"
1.2449884375,15.86810302625,77.5143698500155,1.4172482705017e-11,8.53284690861347e-09,17.5797518579439,"DPYL2_HUMAN",35,97.1562409718271,9.12945169344215e-13,5.91939602492491e-10,1.2449884375,"Up in D8CM",9.22772260348378,"DPYSL2","DPYL2_HUMAN"
0.834958555000004,11.9178211675,56.3727779318949,1.32703530337871e-10,2.08153085232189e-08,15.3994481096908,"FAT1_HUMAN",154,95.6086130059696,1.02804767883722e-12,6.18958134637064e-10,0.834958555000004,"Up in D8CM",9.20833872498794,"FAT1","FAT1_HUMAN"
2.7272114775,11.41046428625,92.8785138926957,3.97695139251312e-12,4.11756309504932e-09,18.7135921899217,"FSTL1_HUMAN",17,93.277336846617,1.23392562464365e-12,6.93383939341424e-10,2.7272114775,"Up in D8CM",9.15902622200494,"FSTL1","FSTL1_HUMAN"
1.117384435,13.978355645,71.268020401738,2.55739390671058e-11,1.04116912329788e-08,17.024669187267,"CHDH_HUMAN",33,89.0065568461645,1.74497693016833e-12,9.19275659024304e-10,1.117384435,"Up in D8CM",9.03655423916686,"CHDH","CHDH_HUMAN"
1.0694367875,15.27013218375,63.8573955511356,5.53003344981344e-11,1.32393418398544e-08,16.2762816740189,"ESYT1_HUMAN",62,86.2093163723484,2.2096477034706e-12,1.09559532309139e-09,1.0694367875,"Up in D8CM",8.96034983034281,"ESYT1","ESYT1_HUMAN"
0.998066422500006,16.90522885375,58.9456953760324,9.70078493539996e-11,1.90157944698805e-08,15.7163517354689,"FLNB_HUMAN",187,84.8503541371679,2.4850831744047e-12,1.16370922650318e-09,0.998066422500006,"Up in D8CM",8.93415552234993,"FLNB","FLNB_HUMAN"
1.2249908425,18.45644616875,67.3319445014166,3.81169242322779e-11,1.18995390501433e-08,16.6404613913148,"ANXA2_HUMAN",42,82.4601162360225,3.0696306186114e-12,1.36178507811976e-09,1.2249908425,"Up in D8CM",8.86589142895174,"ANXA2","ANXA2_HUMAN"
1.155667305,11.64083624,63.9919661799201,5.44887704420087e-11,1.32393418398544e-08,16.290854239582,"ACD10_HUMAN",56,81.4537635294782,3.36132056265314e-12,1.41662855113017e-09,1.155667305,"Up in D8CM",8.84874400955631,"ACAD10","ACD10_HUMAN"
-1.6514499175,11.93523466625,-76.0647886570705,1.61827011103961e-11,8.97668365977184e-09,17.4564638030025,"T23O_HUMAN",22,-80.3511652946717,3.71762985733809e-12,1.49218581273823e-09,-1.6514499175,"Up in D2BM",8.82617709347039,"TDO2","T23O_HUMAN"
0.916028737499998,14.26143419875,56.1865682541325,1.35821801966667e-10,2.08153085232189e-08,15.3758302304541,"MYO1C_HUMAN",72,78.8500336516186,4.27377005210083e-12,1.63743671677991e-09,0.916028737499998,"Up in D8CM",8.78583547550984,"MYO1C","MYO1C_HUMAN"
1.3678798675,15.91474294625,86.4001851938701,6.61059235222431e-12,5.06551663062716e-09,18.2709965101632,"BAAT_HUMAN",15,76.6244290942864,5.28112951979125e-12,1.91318645907306e-09,1.3678798675,"Up in D8CM",8.71824270158779,"BAAT","BAAT_HUMAN"
1.8484249125,13.42082309625,71.1241107705015,2.59396744444839e-11,1.04116912329788e-08,17.0111174009172,"HTRA1_HUMAN",27,76.3036844433461,5.44744038649346e-12,1.91318645907306e-09,1.8484249125,"Up in D8CM",8.71824270158779,"HTRA1","HTRA1_HUMAN"
1.5709586125,13.84484863375,79.2309035599479,1.21508521890417e-11,7.87842562318708e-09,17.7217051700593,"CRYM_HUMAN",16,75.8164354704017,5.71158796212726e-12,1.91697891303739e-09,1.5709586125,"Up in D8CM",8.71738266437904,"CRYM","CRYM_HUMAN"
1.3949851975,15.78843689125,68.2675386719549,3.45956544383791e-11,1.12156450485037e-08,16.7344026064698,"ZYX_HUMAN",27,75.4616293213775,5.91309191350957e-12,1.91697891303739e-09,1.3949851975,"Up in D8CM",8.71738266437904,"ZYX","ZYX_HUMAN"
1.3667388,13.65620637,74.500179202685,1.87270603296625e-11,9.28531714816028e-09,17.3197462238553,"CBPQ_HUMAN",18,74.3002574906894,6.63133965437244e-12,2.02148932370927e-09,1.3667388,"Up in D8CM",8.69432854800649,"CPQ","CBPQ_HUMAN"
1.08501004999999,17.9652616975,56.8620381801011,1.24892541659674e-10,2.02446006471038e-08,15.4610541743526,"MYH9_HUMAN",152,74.1741634492989,6.71511461191831e-12,2.02148932370927e-09,1.08501004999999,"Up in D8CM",8.69432854800649,"MYH9","MYH9_HUMAN"
