"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D3B_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8C_vs_D3B"
1.0721511825,14.43878126125,43.4026070545593,6.04491238142408e-10,9.99069930647521e-08,13.8660534188786,"AK1D1_HUMAN",30,-49.2787978454024,8.42447289500765e-11,1.82076620594922e-08,-1.0721511825,"Up in D3B",7.73974581586607,"AKR1D1","AK1D1_HUMAN",1.0721511825
-1.8069446075,11.80217134875,-48.39250463887,2.77727430980564e-10,6.88518975216227e-08,14.64756873145,"SFXN3_HUMAN",17,49.0014408391487,8.79265244814399e-11,1.85283168713514e-08,1.8069446075,"Up in D8C",7.73216403058313,"SFXN3","SFXN3_HUMAN",-1.8069446075
-3.044634581,9.786306262,-46.6192209969209,3.62672258511051e-10,7.46610204382544e-08,14.3816783653648,"ITA7_HUMAN",30,48.6234084186578,9.32415147676614e-11,1.9169090926259e-08,3.044634581,"Up in D8C",7.71739848258729,"ITGA7","ITA7_HUMAN",-3.044634581
-0.769207002500002,14.39290332875,-36.3133635539712,2.15940761903879e-09,2.2386390298274e-07,12.5485539611945,"MYO1C_HUMAN",72,48.3519361305397,9.72826968835725e-11,1.95237107626579e-08,0.769207002500002,"Up in D8C",7.70943763489751,"MYO1C","MYO1C_HUMAN",-0.769207002500002
2.8935775755,11.19129848475,46.0287896833773,3.97262505484411e-10,7.61028558801841e-08,14.2903541804009,"CO6A1_HUMAN",24,-47.7987149942746,1.0614662545237e-10,2.05317912597927e-08,-2.8935775755,"Up in D3B",7.68757315972303,"COL6A1","CO6A1_HUMAN",2.8935775755
1.94568109425,10.595615147875,44.6364317488474,4.94777313841885e-10,8.70326942730855e-08,14.0691798198664,"PIGR_HUMAN",36,-47.6506082752707,1.08672271155912e-10,2.05317912597927e-08,-1.94568109425,"Up in D3B",7.68757315972303,"PIGR","PIGR_HUMAN",1.94568109425
-0.924983260000005,13.9392114875,-41.0765010145412,8.95912307484287e-10,1.30200773099742e-07,13.4635261642392,"ACOT9_HUMAN",29,47.3796020446427,1.13471727150535e-10,2.05317912597927e-08,0.924983260000005,"Up in D8C",7.68757315972303,"ACOT9","ACOT9_HUMAN",-0.924983260000005
-1.99666071,16.312281845,-46.991668130806,3.42620263799383e-10,7.46610204382544e-08,14.4385548882557,"TPM1_HUMAN",16,47.3595062788157,1.13837060540752e-10,2.05317912597927e-08,1.99666071,"Up in D8C",7.68757315972303,"TPM1","TPM1_HUMAN",-1.99666071
3.4037854675,16.75629818375,45.0623554000707,4.6231438368931e-10,8.65966208914933e-08,14.1377227010146,"FINC_HUMAN",161,-47.2049370608932,1.16691969909237e-10,2.05317912597927e-08,-3.4037854675,"Up in D3B",7.68757315972303,"FN1","FINC_HUMAN",3.4037854675
4.38295221325,9.052170038375,47.202811297059,3.31814989023861e-10,7.46610204382544e-08,14.470551308611,"MIME_HUMAN",10,-47.0858126100961,1.18947520565463e-10,2.05317912597927e-08,-4.38295221325,"Up in D3B",7.68757315972303,"OGN","MIME_HUMAN",4.38295221325
