"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D5B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
1.912207127,10.3894443515,61.2872180125728,4.32698936387956e-11,1.45888773392563e-08,16.4841112900565,"PTPRF_HUMAN",72,70.7572209420396,3.09456598374851e-12,1.15863619978207e-09,1.912207127,"Up in D5B",8.93605290677085,"PTPRF","PTPRF_HUMAN"
1.2030143775,11.04126095875,55.875711399233,8.43251143450423e-11,1.94204194704321e-08,15.8306520230579,"PTPRK_HUMAN",45,70.6563215783602,3.12915432776792e-12,1.15863619978207e-09,1.2030143775,"Up in D5B",8.93605290677085,"PTPRK","PTPRK_HUMAN"
-2.2918448475,13.50625491125,-66.0114238452478,2.53134171829417e-11,1.17497214663629e-08,16.996302005269,"PLIN2_HUMAN",27,-70.5629776558424,3.16154141594348e-12,1.15863619978207e-09,-2.2918448475,"Up in D1C",8.93605290677085,"PLIN2","PLIN2_HUMAN"
-2.2549665,15.413300155,-65.564525630491,2.65859950750754e-11,1.17497214663629e-08,16.949954353749,"AACT_HUMAN",24,-69.1711670800522,3.69220825703724e-12,1.28014583246558e-09,-2.2549665,"Up in D1C",8.89274055329942,"SERPINA3","AACT_HUMAN"
2.11751199,12.7287789575,64.8590925359087,2.87458365778436e-11,1.17497214663629e-08,16.8759306349336,"FA10_HUMAN",25,68.9234113647849,3.79684966326248e-12,1.28014583246558e-09,2.11751199,"Up in D5B",8.89274055329942,"F10","FA10_HUMAN"
1.28549099,11.393066885,55.9064602308172,8.39909904630673e-11,1.94204194704321e-08,15.8345888425317,"G6PD_HUMAN",38,66.9184541017645,4.7783121413674e-12,1.54909203998407e-09,1.28549099,"Up in D5B",8.80992277767676,"G6PD","G6PD_HUMAN"
0.908248662499998,14.94588983125,44.8899840755884,4.0897308900652e-10,4.86003991126528e-08,14.2255092587626,"FLNA_HUMAN",152,65.9647832366061,5.34343862317495e-12,1.66814237610154e-09,0.908248662499998,"Up in D5B",8.77776688504334,"FLNA","FLNA_HUMAN"
-1.0989906775,13.66124212625,-50.3925766814077,1.77659910461846e-10,3.04515327918033e-08,15.0823927905499,"HS105_HUMAN",48,-63.9716338407678,6.78549041196256e-12,1.85912044561496e-09,-1.0989906775,"Up in D1C",8.73069247296535,"HSPH1","HS105_HUMAN"
0.8056192375,16.49453449125,41.6916931592958,6.96665419978368e-10,6.38281828804094e-08,13.668807999703,"CO3_HUMAN",118,63.8876073999437,6.85529283736022e-12,1.85912044561496e-09,0.8056192375,"Up in D5B",8.73069247296535,"C3","CO3_HUMAN"
1.453438045,11.9457160225,58.5093168528993,6.04783247524753e-11,1.69923933112871e-08,16.1582862524874,"KNG1_HUMAN",26,63.8455681635862,6.89051939476703e-12,1.85912044561496e-09,1.453438045,"Up in D5B",8.73069247296535,"KNG1","KNG1_HUMAN"
1.10543871,15.295821905,51.279652923911,1.56647208325338e-10,2.87038982385711e-08,15.210032862149,"PH4H_HUMAN",41,63.7519860163341,6.96967164522354e-12,1.85912044561496e-09,1.10543871,"Up in D5B",8.73069247296535,"PAH","PH4H_HUMAN"
-0.999283077499999,12.13255131125,-51.9933179338293,1.41782057085091e-10,2.71609308902325e-08,15.3107897201918,"LPIN2_HUMAN",32,-63.6489637627285,7.05799670894277e-12,1.85912044561496e-09,-0.999283077499999,"Up in D1C",8.73069247296535,"LPIN2","LPIN2_HUMAN"
1.913448575,12.5784319625,60.4201595067662,4.79574604247702e-11,1.55474397661688e-08,16.3844860661741,"HRG_HUMAN",22,63.0772790689281,7.57166945491763e-12,1.93219623217048e-09,1.913448575,"Up in D5B",8.71394876911043,"HRG","HRG_HUMAN"
1.6047563575,12.40693759875,56.7048037694545,7.58216490229321e-11,1.94204194704321e-08,15.9358613434905,"PROS_HUMAN",31,62.8433800442641,7.79388680671449e-12,1.93219623217048e-09,1.6047563575,"Up in D5B",8.71394876911043,"PROS1","PROS_HUMAN"
1.1596989625,13.21431302875,48.4753883654489,2.35008418384761e-10,3.60274424517522e-08,14.7970346804814,"CO5_HUMAN",77,61.5073096663321,9.21336570739978e-12,2.21884170136208e-09,1.1596989625,"Up in D5B",8.65387368049771,"C5","CO5_HUMAN"
1.031205415,11.36129105,48.8700371791669,2.21660400725535e-10,3.52523682587837e-08,14.8568689937514,"S12A4_HUMAN",39,60.7177561497277,1.01883142667226e-11,2.38548058206124e-09,1.031205415,"Up in D5B",8.62242411427084,"SLC12A4","S12A4_HUMAN"
-2.47218585,11.9126750225,-56.2966749059592,7.98790967562019e-11,1.94204194704321e-08,15.8843141130107,"PIGR_HUMAN",36,-60.427013117483,1.05762358553083e-11,2.40938086552416e-09,-2.47218585,"Up in D1C",8.61809454299821,"PIGR","PIGR_HUMAN"
1.64263606,12.2536450625,56.1782397826834,8.11023880492174e-11,1.94204194704321e-08,15.8692676560968,"HEP2_HUMAN",25,60.0472259249749,1.11083047160205e-11,2.46399738029834e-09,1.64263606,"Up in D5B",8.60835975824567,"SERPIND1","HEP2_HUMAN"
1.719373703,9.9728434085,54.0592478235994,1.0703565000446e-10,2.25550873471898e-08,15.5931738500852,"BMP1_HUMAN",34,59.6048769614696,1.17664611411899e-11,2.51279236716859e-09,1.719373703,"Up in D5B",8.59984339581585,"BMP1","BMP1_HUMAN"
1.8371317375,13.38517177125,59.3291180705888,5.46993866497639e-11,1.58986596576159e-08,16.2564745633595,"FADS2_HUMAN",18,59.5028026115833,1.19245099877498e-11,2.51279236716859e-09,1.8371317375,"Up in D5B",8.59984339581585,"FADS2","FADS2_HUMAN"
1.8389322775,15.95655429375,52.9504194217065,1.24299384129918e-10,2.53350244672432e-08,15.4432948093774,"TRFE_HUMAN",55,59.3012445592221,1.2243679771997e-11,2.51712138532104e-09,1.8389322775,"Up in D5B",8.59909584058831,"TF","TRFE_HUMAN"
1.3681046925,12.55372655375,60.0886100939254,4.99006793616102e-11,1.55782528273708e-08,16.3459018423751,"ACMSD_HUMAN",18,58.6082082741957,1.34169474984906e-11,2.69265358249469e-09,1.3681046925,"Up in D5B",8.5698195162091,"ACMSD","ACMSD_HUMAN"
