"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D5BM_vs_D8CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8CM_vs_D5BM"
0.8633801975,10.54647553125,33.5013968379632,4.49118082034732e-09,1.02285726742827e-06,11.8774543335515,"LAMC1_HUMAN",57,-39.2380559893128,7.388093172505e-10,2.44366133988333e-07,-0.8633801975,"Up in D5BM",6.61195898190371,"LAMC1","LAMC1_HUMAN",0.8633801975
0.696022990000003,12.1824145325,31.2507728578121,7.33356987505095e-09,1.34175836256519e-06,11.3863012641307,"COBL1_HUMAN",67,-39.1314497794938,7.53769069129985e-10,2.44366133988333e-07,-0.696022990000003,"Up in D5BM",6.61195898190371,"COBLL1","COBL1_HUMAN",0.696022990000003
-0.527488945,11.1614516975,-28.9942341562456,1.24338325712401e-08,1.94408159224662e-06,10.8488188969911,"BMP1_HUMAN",34,37.2766464063035,1.07793715496754e-09,3.06559424503512e-07,0.527488945,"Up in D8CM",6.51348532789116,"BMP1","BMP1_HUMAN",-0.527488945
-1.6958899505,9.60856962225,-35.0736811864258,3.24955472877968e-09,8.74172027622525e-07,12.1969114422743,"FLNC_HUMAN",88,37.2400890770003,1.0857549274522e-09,3.06559424503512e-07,1.6958899505,"Up in D8CM",6.51348532789116,"FLNC","FLNC_HUMAN",-1.6958899505
-0.586973904999997,14.0515486,-31.2051874414857,7.40940912734021e-09,1.34175836256519e-06,11.3759099755564,"HTRA1_HUMAN",27,37.160998415782,1.10288956095012e-09,3.06559424503512e-07,0.586973904999997,"Up in D8CM",6.51348532789116,"HTRA1","HTRA1_HUMAN",-0.586973904999997
-0.61363149,11.9782460925,-30.7947306709244,8.13407042114709e-09,1.42837665791352e-06,11.2815102714809,"TCAF1_HUMAN",31,37.1193329091366,1.11203945138115e-09,3.06559424503512e-07,0.61363149,"Up in D8CM",6.51348532789116,"TCAF1","TCAF1_HUMAN",-0.61363149
-0.7856137775,16.09312260125,-33.05694978389,4.93481396999178e-09,1.06655248597592e-06,11.7837424913787,"ZYX_HUMAN",27,36.9630618642108,1.14713266275685e-09,3.06559424503512e-07,0.7856137775,"Up in D8CM",6.51348532789116,"ZYX","ZYX_HUMAN",-0.7856137775
0.595037219999998,13.5174843075,29.6044395771401,1.07376919168324e-08,1.77466676798e-06,10.9989685574871,"A0AAG2UXZ5_HUMAN",37,-36.7290928709642,1.20204859640993e-09,3.06559424503512e-07,-0.595037219999998,"Up in D5BM",6.51348532789116,"COL18A1","A0AAG2UXZ5_HUMAN",0.595037219999998
2.85624957225,10.148173213875,38.1929718110515,1.78066058909992e-09,6.83606067605548e-07,12.7798534820763,"FMOD_HUMAN",8,-36.5740648045915,1.24007817312866e-09,3.06559424503512e-07,-2.85624957225,"Up in D5BM",6.51348532789116,"FMOD","FMOD_HUMAN",2.85624957225
1.14631057,14.706914545,36.4270087582256,2.48750842511657e-09,8.17083209647392e-07,12.4577078734865,"GNMT_HUMAN",16,-36.431924038381,1.27614963005159e-09,3.06559424503512e-07,-1.14631057,"Up in D5BM",6.51348532789116,"GNMT","GNMT_HUMAN",1.14631057
