"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D5B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D5B_vs_D1CM"
-1.9006481175,14.12409234125,-84.343699177259,4.22840170188328e-12,3.99755120304614e-09,18.6594086539102,"FBX2_HUMAN",16,80.4986117193743,1.13292285847048e-12,5.61729810238098e-10,1.9006481175,"Up in D5B",9.25047252809398,"FBXO2","FBX2_HUMAN",-1.9006481175
-1.9527380475,15.89965140875,-68.2175016204037,1.96082123572106e-11,8.22262285087816e-09,17.2580016024896,"TRFE_HUMAN",55,77.3745179262777,1.54218009296217e-12,7.22168666865453e-10,1.9527380475,"Up in D5B",9.14136135847723,"TF","TRFE_HUMAN",-1.9527380475
1.98086071,16.63648653,79.5033829279957,6.48292391896274e-12,4.96768779208517e-09,18.2809916607298,"A1AG1_HUMAN",15,-75.2733554329664,1.91110777026379e-12,8.4782775766071e-10,-1.98086071,"Up in D1CM",9.07169236884643,"ORM1","A1AG1_HUMAN",1.98086071
-1.1116528525,15.29271483375,-58.9228097036777,5.65083034608328e-11,1.28732024289557e-08,16.2298385814645,"PH4H_HUMAN",41,73.6907142416309,2.25515700447784e-12,9.50435919537186e-10,1.1116528525,"Up in D5B",9.02207715889275,"PAH","PH4H_HUMAN",-1.1116528525
-2.2503974425,11.27026951375,-70.0434954667408,1.62001007616562e-11,7.44027637694646e-09,17.4385752806325,"SMOC1_HUMAN",19,71.8057351739971,2.75955519565743e-12,1.05965631262502e-09,2.2503974425,"Up in D5B",8.97483497033284,"SMOC1","SMOC1_HUMAN",-2.2503974425
2.1052844525,12.86386215625,70.8830601315955,1.48632288510815e-11,7.36953858739798e-09,17.5194984177723,"HMOX1_HUMAN",18,-71.7850942562723,2.76574194776965e-12,1.05965631262502e-09,-2.1052844525,"Up in D1CM",8.97483497033284,"HMOX1","HMOX1_HUMAN",2.1052844525
-1.9159586425,12.57717692875,-66.8791049428501,2.26273689436604e-11,8.22262285087816e-09,17.1215189906454,"HRG_HUMAN",22,70.0725449970225,3.33804142456498e-12,1.12794967460641e-09,1.9159586425,"Up in D5B",8.94771027670755,"HRG","HRG_HUMAN",-1.9159586425
-2.0151658075,11.26483225625,-65.9072382793085,2.51524367487003e-11,8.22262285087816e-09,17.0201385252657,"MUC18_HUMAN",25,70.018132285483,3.35829970361464e-12,1.12794967460641e-09,2.0151658075,"Up in D5B",8.94771027670755,"MCAM","MUC18_HUMAN",-2.0151658075
-1.685614585,13.2076678275,-59.865394460553,5.03868728126053e-11,1.17975264149292e-08,16.343278395443,"EPIPL_HUMAN",173,69.717119136721,3.47290607610282e-12,1.12794967460641e-09,1.685614585,"Up in D5B",8.94771027670755,"EPPK1","EPIPL_HUMAN",-1.685614585
-1.0387127375,14.88065779375,-51.6349175675679,1.46638405490101e-10,2.02625429487879e-08,15.2694540156633,"FLNA_HUMAN",152,69.2807055660254,3.64698402824126e-12,1.12794967460641e-09,1.0387127375,"Up in D5B",8.94771027670755,"FLNA","FLNA_HUMAN",-1.0387127375
2.0127220175,11.38902187375,64.201611511436,3.03999554160167e-11,8.5413741400535e-09,16.8374078498,"APOA4_HUMAN",29,-69.1059771753431,3.71942277358805e-12,1.12794967460641e-09,-2.0127220175,"Up in D1CM",8.94771027670755,"APOA4","APOA4_HUMAN",2.0127220175
-0.748712065000001,13.42063713,-44.370820689258,4.38011933737139e-10,3.80618823656737e-08,14.1354537413644,"MYLK_HUMAN",99,68.6274090570563,3.92628037616034e-12,1.12794967460641e-09,0.748712065000001,"Up in D5B",8.94771027670755,"MYLK","MYLK_HUMAN",-0.748712065000001
-2.15364909,12.7107104075,-64.7435495573848,2.86082758984374e-11,8.31514336372167e-09,16.896145612686,"FA10_HUMAN",25,68.5309571153841,3.96952471108526e-12,1.12794967460641e-09,2.15364909,"Up in D5B",8.94771027670755,"F10","FA10_HUMAN",-2.15364909
-2.05533528375,10.866960168125,-66.0349615324174,2.4802953786047e-11,8.22262285087816e-09,17.0335735104124,"ALDR_HUMAN",20,68.1925490499755,4.12555540800667e-12,1.12794967460641e-09,2.05533528375,"Up in D5B",8.94771027670755,"AKR1B1","ALDR_HUMAN",-2.05533528375
-5.0561068075,11.23282659125,-69.7085196290481,1.67712956652014e-11,7.44027637694646e-09,17.4059234546598,"ANGL8_HUMAN",9,68.144322073748,4.14834973458283e-12,1.12794967460641e-09,5.0561068075,"Up in D5B",8.94771027670755,"ANGPTL8","ANGL8_HUMAN",-5.0561068075
2.2065413,13.4636031375,63.783239927008,3.18706810318805e-11,8.66574098121681e-09,16.7916219650825,"PLIN2_HUMAN",27,-67.8412916169681,4.29486932775071e-12,1.13129542386283e-09,-2.2065413,"Up in D1CM",8.94642396961045,"PLIN2","PLIN2_HUMAN",2.2065413
