"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D8BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8BM_vs_D1CM"
1.1432425975,10.61396634375,49.1983775899865,2.38940413557316e-10,3.66187044704475e-08,14.786325858453,"NAA25_HUMAN",37,-63.0084662318364,1.30653219759496e-11,3.14650282672226e-09,-1.1432425975,"Up in D1CM",8.50217187375939,"NAA25","NAA25_HUMAN",1.1432425975
1.1790585525,13.61618375875,48.0631425142248,2.82425712642854e-10,4.03485818960443e-08,14.6145847995674,"HS105_HUMAN",48,-62.5237009666373,1.3853780337679e-11,3.18430596573798e-09,-1.1790585525,"Up in D1CM",8.4969852095124,"HSPH1","HS105_HUMAN",1.1790585525
-1.4445483625,15.08357560625,-49.4999933795438,2.2870576607278e-10,3.66187044704475e-08,14.8311620267805,"FLNA_HUMAN",152,62.4178649529144,1.40329958878163e-11,3.18430596573798e-09,1.4445483625,"Up in D8BM",8.4969852095124,"FLNA","FLNA_HUMAN",-1.4445483625
-1.166534425,16.87157488,-45.3490255046685,4.28219218529005e-10,5.30802910732498e-08,14.1837951294553,"FAS_HUMAN",166,61.8974669181385,1.49532517169655e-11,3.18430596573798e-09,1.166534425,"Up in D8BM",8.4969852095124,"FASN","FAS_HUMAN",-1.166534425
-1.4404335025,12.64821839375,-61.7430775250678,4.69267079704657e-11,1.24381619974967e-08,16.4117005281938,"ACMSD_HUMAN",18,61.8308044545993,1.50759945923574e-11,3.18430596573798e-09,1.4404335025,"Up in D8BM",8.4969852095124,"ACMSD","ACMSD_HUMAN",-1.4404335025
0.926658871000001,10.378682257,41.9092869523266,7.53119046237554e-10,7.74151273260529e-08,13.5926151735618,"TRIPC_HUMAN",64,-61.8118016600943,1.51111921496642e-11,3.18430596573798e-09,-0.926658871000001,"Up in D1CM",8.4969852095124,"TRIP12","TRIPC_HUMAN",0.926658871000001
-1.890077115,17.2604739675,-54.923212601847,1.08589190641197e-10,2.29979001806951e-08,15.5851284891468,"VTNC_HUMAN",29,60.3353252193227,1.81531244655929e-11,3.73201673464592e-09,1.890077115,"Up in D8BM",8.4280564175118,"VTN","VTNC_HUMAN",-1.890077115
-1.9291963575,10.49605393375,-54.3840318031165,1.16544141715806e-10,2.39597700127446e-08,15.5143274817653,"ITA2_HUMAN",31,59.886745308025,1.92103937736973e-11,3.85534307424987e-09,1.9291963575,"Up in D8BM",8.4139369694615,"ITGA2","ITA2_HUMAN",-1.9291963575
-2.41962385375,10.238708735625,-54.8908333215377,1.09049068022826e-10,2.29979001806951e-08,15.5809009960042,"EHD2_HUMAN",29,58.7122210750949,2.2324753001621e-11,4.37617076862007e-09,2.41962385375,"Up in D8BM",8.35890573913753,"EHD2","EHD2_HUMAN",-2.41962385375
-1.377511265,14.0910767325,-49.2472853680838,2.37245958362713e-10,3.66187044704475e-08,14.7936184318424,"CAN2_HUMAN",37,58.2998169672737,2.35508457397151e-11,4.5115926986377e-09,1.377511265,"Up in D8BM",8.34567011485772,"CAPN2","CAN2_HUMAN",-1.377511265
