"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D5B_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
1.9573369035,9.84539175075,50.8286490697238,1.82061683260065e-10,1.18045994476853e-07,14.9231428386481,"FIL1L_HUMAN",33,55.0200927017822,2.83007846901865e-11,2.16861194685074e-08,1.9573369035,"Up in D8C",7.66381815403417,"FILIP1L","FIL1L_HUMAN"
1.174307825,13.99426198,45.9405331249642,3.76169186062181e-10,2.26480719237009e-07,14.2695003569832,"PFKAP_HUMAN",36,53.7014681190168,3.4098090287835e-11,2.39510669196801e-08,1.174307825,"Up in D8C",7.62067513581897,"PFKP","PFKAP_HUMAN"
1.9710328575,12.02230823125,52.3017551733642,1.48298660399092e-10,1.04167450708662e-07,15.1027623698527,"FSTL1_HUMAN",17,52.6362064689193,3.97712208592645e-11,2.57870477402108e-08,1.9710328575,"Up in D8C",7.58859837571887,"FSTL1","FSTL1_HUMAN"
1.2626476275,14.36133813875,44.1490524011267,5.00396432739783e-10,2.45147335971861e-07,14.0052106207894,"VIME_HUMAN",47,51.3939141216943,4.77789715648864e-11,2.87663536657448e-08,1.2626476275,"Up in D8C",7.54111518444985,"VIM","VIME_HUMAN"
-2.485177515,11.542544365,-77.0317420737765,9.18194549085357e-12,1.93486546356012e-08,17.274286176793,"F13A_HUMAN",7,-50.0621008863692,5.84523514580637e-11,3.28463246960013e-08,-2.485177515,"Up in D5B",7.4835132182973,"F13A1","F13A_HUMAN"
1.82345533175,9.913650511625,45.0727052384667,4.31326717703037e-10,2.42376860234593e-07,14.1432639420424,"TRFM_HUMAN",35,48.7173816526537,7.20441026057243e-11,3.79537338039781e-08,1.82345533175,"Up in D8C",7.42074549274088,"MELTF","TRFM_HUMAN"
-0.958428384999999,11.975841045,-37.9401908560168,1.4832373486918e-09,4.93280373691298e-07,12.9656985236094,"AGRIN_HUMAN",69,-47.2841443953592,9.06059475932148e-11,4.49245607213652e-08,-0.958428384999999,"Up in D5B",7.34751616079038,"AGRN","AGRIN_HUMAN"
1.6873796,11.4622541675,43.5425635619325,5.52592167928028e-10,2.45147335971861e-07,13.9124170054681,"ANXA3_HUMAN",21,45.3431117294507,1.24991101432247e-10,5.84651079964575e-08,1.6873796,"Up in D8C",7.23310324375511,"ANXA3","ANXA3_HUMAN"
1.8933248525,13.21907758625,42.2762466465599,6.82858191652639e-10,2.87790584872005e-07,13.7129599370286,"MUC18_HUMAN",25,44.5343743265327,1.43501671410207e-10,5.84651079964575e-08,1.8933248525,"Up in D8C",7.23310324375511,"MCAM","MUC18_HUMAN"
-4.17698192575,8.949184894625,-44.6137309329965,4.64189403656605e-10,2.44540780213845e-07,14.0751490080569,"MIME_HUMAN",10,-44.3806680269477,1.47359595117541e-10,5.84651079964575e-08,-4.17698192575,"Up in D5B",7.23310324375511,"OGN","MIME_HUMAN"
