"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1BM_vs_D2BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D2BM_vs_D1BM"
-0.880632877499998,12.03526353875,-43.0737814447534,7.57304805651397e-10,2.6163712419547e-07,13.638545609751,"BODG_HUMAN",18,43.1655269630234,2.89783068299264e-10,6.97880423626999e-08,0.880632877499998,"Up in D2BM",7.15621898397816,"BBOX1","BODG_HUMAN",-0.880632877499998
1.09557438,12.300074815,39.1092835729947,1.49866025745471e-09,3.77754747468894e-07,12.9723372864776,"ABHD2_HUMAN",29,-41.9027116030153,3.61765793046839e-10,8.47034408219947e-08,-1.09557438,"Up in D1BM",7.07209894740656,"ABHD2","ABHD2_HUMAN",1.09557438
-1.053583625,12.56867814,-39.3338543391935,1.43923201596333e-09,3.77754747468894e-07,13.0123323380096,"HEP2_HUMAN",25,41.6983707247738,3.75222969484775e-10,8.54798489131668e-08,1.053583625,"Up in D2BM",7.06813625412889,"SERPIND1","HEP2_HUMAN",-1.053583625
0.4729919425,13.98641324125,30.5796155777747,8.50831550161526e-09,1.18421630483288e-06,11.2054919215949,"HS105_HUMAN",48,-41.5014511329135,3.88730313578472e-10,8.62265213987617e-08,-0.4729919425,"Non-significant",7.06435913411038,"HSPH1","HS105_HUMAN",0.4729919425
-0.762740132499999,10.79482674625,-35.6194852617591,2.90022930776831e-09,5.68512391515793e-07,12.3115870914091,"PTPRK_HUMAN",45,41.3232495511301,4.01430090089208e-10,8.67603648554342e-08,0.762740132499999,"Up in D2BM",7.06167863030505,"PTPRK","PTPRK_HUMAN",-0.762740132499999
-1.6849420065,10.34512388675,-38.5651489641755,1.65462464570734e-09,3.93805427504496e-07,12.8742239633179,"PEG10_HUMAN",23,39.9632649609118,5.15430550364129e-10,1.08614102725481e-07,1.6849420065,"Up in D2BM",6.96411378120929,"PEG10","PEG10_HUMAN",-1.6849420065
-0.710230829999997,13.0405600075,-34.5902858146271,3.56717801726062e-09,6.68172077944216e-07,12.1014728311841,"APOA4_HUMAN",29,38.5162335971818,6.78855658391677e-10,1.39562788892279e-07,0.710230829999997,"Up in D2BM",6.85523036060236,"APOA4","APOA4_HUMAN",-0.710230829999997
-1.1398541915,9.78083240925,-38.2703860725452,1.74679875503681e-09,3.93805427504496e-07,12.8203501519016,"KAIN_HUMAN",16,38.1139418216958,7.34211996822721e-10,1.47349355267112e-07,1.1398541915,"Up in D2BM",6.83165176008245,"SERPINA4","KAIN_HUMAN",-1.1398541915
0.819858072499999,10.53747558625,34.4651415781832,3.65961320757233e-09,6.705843418832e-07,12.0754115284476,"TAXB1_HUMAN",32,-37.956168640927,7.57304196809424e-10,1.48449234300154e-07,-0.819858072499999,"Up in D1BM",6.82842203814928,"TAX1BP1","TAXB1_HUMAN",0.819858072499999
0.507458447500003,13.26347649125,31.0721307492033,7.6020602191639e-09,1.10478906185056e-06,11.3227246370727,"TXLNA_HUMAN",32,-37.4568976690776,8.35982255454377e-10,1.60147600709658e-07,-0.507458447500003,"Up in D1BM",6.79547956344013,"TXLNA","TXLNA_HUMAN",0.507458447500003
