"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D2B_vs_D8CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
2.08434033,12.273275255,60.082657439716,7.41732177285216e-11,2.35944698020561e-08,15.9724211444754,"PEG10_HUMAN",23,62.6640352426288,1.78252852358023e-11,4.17422026675584e-09,2.08434033,"Up in D8CM",8.37942463765853,"PEG10","PEG10_HUMAN"
0.882086755000003,17.1217441575,45.2751500939605,5.47918010501743e-10,5.78570120983027e-08,13.9487020182948,"AHNK_HUMAN",309,62.6627764211742,1.78279664969997e-11,4.17422026675584e-09,0.882086755000003,"Up in D8CM",8.37942463765853,"AHNAK","AHNK_HUMAN"
-1.2967331425,11.26538717625,-58.5007409141162,8.95744493612285e-11,2.35944698020561e-08,15.7872925907393,"PACN3_HUMAN",23,-62.2626072049513,1.87039557757382e-11,4.26096333064046e-09,-1.2967331425,"Up in D2B",8.37049220327174,"PACSIN3","PACN3_HUMAN"
1.0905959575,15.87965357375,57.4380599589994,1.01970832950285e-10,2.42567652539734e-08,15.6593206334952,"SCRB2_HUMAN",23,61.9215223070512,1.94892428280089e-11,4.32302178413914e-09,1.0905959575,"Up in D8CM",8.36421257600751,"SCARB2","SCRB2_HUMAN"
1.21179533,12.4042775625,58.7627513508287,8.67883889249606e-11,2.35944698020561e-08,15.8183928847932,"BCAT2_HUMAN",20,60.3888022968997,2.35119038184892e-11,5.08158557143707e-09,1.21179533,"Up in D8CM",8.29400075671523,"BCAT2","BCAT2_HUMAN"
1.29174614,13.6937027,60.5824349868641,6.99531057484951e-11,2.35944698020561e-08,16.0296173780072,"CBPQ_HUMAN",18,60.1424337888962,2.42425820843706e-11,5.10851810972898e-09,1.29174614,"Up in D8CM",8.29170506270356,"CPQ","CBPQ_HUMAN"
-3.84543156625,11.295803189375,-57.0213018090135,1.07358395499129e-10,2.42567652539734e-08,15.6083148342111,"PGBM_HUMAN",175,-59.7677455254067,2.54036946663966e-11,5.19555951587622e-09,-3.84543156625,"Up in D2B",8.28436767590797,"HSPG2","PGBM_HUMAN"
1.040410755,13.8926976925,52.3712683297209,1.95877132949172e-10,2.95709603887441e-08,15.0057027502443,"ACOT9_HUMAN",29,59.6170281695145,2.58884208882194e-11,5.19555951587622e-09,1.040410755,"Up in D8CM",8.28436767590797,"ACOT9","ACOT9_HUMAN"
0.697209600000001,11.637762665,40.9857281626284,1.10633146245179e-09,9.16773098445284e-08,13.2107556290351,"PHLB2_HUMAN",65,58.5430942564627,2.9662095431322e-11,5.81446052071194e-09,0.697209600000001,"Up in D8CM",8.23549057392722,"PHLDB2","PHLB2_HUMAN"
0.486427310000003,15.406654835,31.6664001554739,6.81743951500644e-09,2.9620720449479e-07,11.2558938894251,"MYH14_HUMAN",140,58.1000134565112,3.13977778542963e-11,6.01481521667872e-09,0.486427310000003,"Non-significant",8.2207777102376,"MYH14","MYH14_HUMAN"
-1.5276415325,11.87333047375,-55.2049161012959,1.34967438967227e-10,2.52809009567724e-08,15.3804298319717,"T23O_HUMAN",22,-57.660554363708,3.32338097107382e-11,6.10326569800462e-09,-1.5276415325,"Up in D2B",8.2144377231672,"TDO2","T23O_HUMAN"
0.811099532499998,13.69334793125,42.5238708883776,8.53009590293054e-10,7.73120197481737e-08,13.4851760437969,"MYLK_HUMAN",99,57.6434586110195,3.33076547761552e-11,6.10326569800462e-09,0.811099532499998,"Up in D8CM",8.2144377231672,"MYLK","MYLK_HUMAN"
1.39967799,12.09406364,54.87675778121,1.4077734002923e-10,2.57959173718779e-08,15.3382620338385,"MFGM_HUMAN",22,57.4726294144293,3.40558515894588e-11,6.10759091590527e-09,1.39967799,"Up in D8CM",8.21413005951914,"MFGE8","MFGM_HUMAN"
1.60550475,11.756530165,53.1415758672699,1.76670999361094e-10,2.91231240025704e-08,15.1099930187004,"PALLD_HUMAN",30,57.140392361788,3.55661707028102e-11,6.2455677677914e-09,1.60550475,"Up in D8CM",8.20442807495028,"PALLD","PALLD_HUMAN"
2.2785265425,11.57046258375,55.9064537968725,1.23441148191675e-10,2.42567652539734e-08,15.4695402064098,"PRS23_HUMAN",17,56.5997884391523,3.81888064787948e-11,6.56925407775022e-09,2.2785265425,"Up in D8CM",8.18248394068499,"PRSS23","PRS23_HUMAN"
1.55864095525,10.552202462375,53.0153444348101,1.79665731182069e-10,2.91231240025704e-08,15.0930299847395,"APBA1_HUMAN",25,56.1359323060227,4.0614734187085e-11,6.81456935515569e-09,1.55864095525,"Up in D8CM",8.16656158408301,"APBA1","APBA1_HUMAN"
1.9893229,12.8539804225,60.5196724565579,7.04677309803236e-11,2.35944698020561e-08,16.0224679568915,"CAV1_HUMAN",12,55.8059696330119,4.24467740342715e-11,6.81456935515569e-09,1.9893229,"Up in D8CM",8.16656158408301,"CAV1","CAV1_HUMAN"
1.2641012675,15.96663224625,60.7201640661381,6.88387457787702e-11,2.35944698020561e-08,16.0452730698136,"BAAT_HUMAN",15,55.770009194906,4.26520334018861e-11,6.81456935515569e-09,1.2641012675,"Up in D8CM",8.16656158408301,"BAAT","BAAT_HUMAN"
-1.24977016249999,11.00402212125,-51.5654959256801,2.18561357712863e-10,3.12246387146055e-08,14.8945897760918,"ZN622_HUMAN",26,-55.7357276644285,4.28487573642486e-11,6.81456935515569e-09,-1.24977016249999,"Up in D2B",8.16656158408301,"ZNF622","ZN622_HUMAN"
-1.218734505,12.720779775,-49.1773094678805,3.05559547702937e-10,3.90557288275588e-08,14.5525243202675,"PCKGC_HUMAN",38,-55.4856868755298,4.43151112661874e-11,6.9172606085684e-09,-1.218734505,"Up in D2B",8.16006586191983,"PCK1","PCKGC_HUMAN"
2.54066324075,9.372281312125,52.6376675688911,1.88977520217116e-10,2.94979910724087e-08,15.0419808784048,"DREB_HUMAN",25,54.7305624322099,4.9100551244018e-11,7.35955443339444e-09,2.54066324075,"Up in D8CM",8.13314847818637,"DBN1","DREB_HUMAN"
-0.63061285,13.85297227,-39.1826466061934,1.51967686415324e-09,1.13886137930452e-07,12.8737869890085,"GEPH_HUMAN",45,-54.5477554251191,5.03453810001066e-11,7.35955443339444e-09,-0.63061285,"Up in D2B",8.13314847818637,"GPHN","GEPH_HUMAN"
0.897507187500002,13.98404836625,46.797230242126,4.33804397797772e-10,4.81123324873345e-08,14.1912766279309,"EHD4_HUMAN",31,54.5453890329259,5.03617277894191e-11,7.35955443339444e-09,0.897507187500002,"Up in D8CM",8.13314847818637,"EHD4","EHD4_HUMAN"
-0.589157817499997,13.43648159375,-37.551734315124,2.05108987222311e-09,1.38616976740996e-07,12.5536345751997,"HS105_HUMAN",48,-54.4340570787174,5.11376376842113e-11,7.35955443339444e-09,-0.589157817499997,"Up in D2B",8.13314847818637,"HSPH1","HS105_HUMAN"
-0.932302237500004,13.85245287375,-55.9760334105088,1.22360493923826e-10,2.42567652539734e-08,15.4783023144494,"GPX2_HUMAN",18,-54.3807048412324,5.15142616645239e-11,7.35955443339444e-09,-0.932302237500004,"Up in D2B",8.13314847818637,"GPX2","GPX2_HUMAN"
1.21760201500001,14.2672032125,52.3293695612729,1.96988239144978e-10,2.95709603887441e-08,14.9999765024099,"QORX_HUMAN",20,53.7919181169261,5.58862349557111e-11,7.66100903536726e-09,1.21760201500001,"Up in D8CM",8.11571402545463,"TP53I3","QORX_HUMAN"
-0.73234248,11.940238595,-38.7955871149411,1.62991892488482e-09,1.16497051413314e-07,12.7991732979325,"SPTN2_HUMAN",127,-53.7718322028359,5.60426298560564e-11,7.66100903536726e-09,-0.73234248,"Up in D2B",8.11571402545463,"SPTBN2","SPTN2_HUMAN"
-0.779029847500006,17.78370523375,-41.4524413778069,1.02136344646911e-09,8.96778384405013e-08,13.295246543882,"PDIA4_HUMAN",55,-53.7324136940038,5.63509977687472e-11,7.66100903536726e-09,-0.779029847500006,"Up in D2B",8.11571402545463,"PDIA4","PDIA4_HUMAN"
-1.1411149475,12.02779662625,-45.6278726182444,5.18697223185166e-10,5.6052549925997e-08,14.0057567514029,"AGRIN_HUMAN",69,-53.3929654917041,5.90875189007707e-11,7.90553487007296e-09,-1.1411149475,"Up in D2B",8.10206874138479,"AGRN","AGRIN_HUMAN"
