"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D2BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D2BM_vs_D1C"
-1.6790719,11.912180425,-45.8750829714163,4.27221061292959e-10,1.12532697676198e-07,14.2202190493348,"PCSK6_HUMAN",46,49.8423169463596,7.72888345474403e-11,2.24643995310474e-08,1.6790719,"Up in D2BM",7.64850518552134,"PCSK6","PCSK6_HUMAN",-1.6790719
-0.859204290000001,11.179923535,-40.7627652803927,9.91301526076261e-10,1.89901830984018e-07,13.3720120363879,"G6PD_HUMAN",38,48.9359734257858,8.88219120964675e-11,2.49559965687041e-08,0.859204290000001,"Up in D2BM",7.60282508275449,"G6PD","G6PD_HUMAN",-0.859204290000001
-4.7251830095,10.68557882275,-46.1929771661469,4.06704124970551e-10,1.12532697676198e-07,14.2690785988387,"PGBM_HUMAN",175,48.0328760623408,1.02287804007392e-10,2.73976397339851e-08,4.7251830095,"Up in D2BM",7.56228684939341,"HSPG2","PGBM_HUMAN",-4.7251830095
-1.66337847249999,15.47485506625,-46.7515907358279,3.73311351847352e-10,1.12532697676198e-07,14.3539243374884,"FGL1_HUMAN",19,47.9269816883934,1.04012868844172e-10,2.73976397339851e-08,1.66337847249999,"Up in D2BM",7.56228684939341,"FGL1","FGL1_HUMAN",-1.66337847249999
-0.615827802499997,14.43958818875,-35.3783264377873,2.71689801482137e-09,3.75421858474251e-07,12.3287380151602,"DPP4_HUMAN",42,47.6991994817993,1.07836233755348e-10,2.75439883128432e-08,0.615827802499997,"Up in D2BM",7.55997317457832,"DPP4","DPP4_HUMAN",-0.615827802499997
-2.90343094,16.1844158175,-44.6801223413944,5.15627359706001e-10,1.22956735531207e-07,14.0327133522251,"FIBA_HUMAN",58,46.8975205736014,1.22614033151288e-10,3.00390454423583e-08,2.90343094,"Up in D2BM",7.52231387212403,"FGA","FIBA_HUMAN",-2.90343094
-1.4891459965,10.41095292675,-42.2906356209762,7.62768566016362e-10,1.60734406073798e-07,13.6385316219527,"SORL_HUMAN",72,46.6692146094594,1.27232367692967e-10,3.00390454423583e-08,1.4891459965,"Up in D2BM",7.52231387212403,"SORL1","SORL_HUMAN",-1.4891459965
-1.425288677,10.3652386665,-44.5655886733836,5.25144439331292e-10,1.22956735531207e-07,14.0144153544773,"VWA1_HUMAN",22,46.5765574382534,1.29162589215783e-10,3.00390454423583e-08,1.425288677,"Up in D2BM",7.52231387212403,"VWA1","VWA1_HUMAN",-1.425288677
-1.5347619075,12.43740391625,-44.0089409454618,5.7434515237325e-10,1.30842034847409e-07,13.9246510737945,"FA10_HUMAN",25,46.4496816953445,1.31859613402213e-10,3.00390454423583e-08,1.5347619075,"Up in D2BM",7.52231387212403,"F10","FA10_HUMAN",-1.5347619075
-0.412964817499997,11.29385948125,-25.6018198033873,2.69798758505018e-08,1.50604883141642e-06,9.8725526283386,"FAT1_HUMAN",154,45.8120684404845,1.46415796152518e-10,3.24773354149889e-08,0.412964817499997,"Non-significant",7.48841960941969,"FAT1","FAT1_HUMAN",-0.412964817499997
-0.519473789999996,11.84404862,-30.7580153428005,7.34519408735549e-09,6.0698667610117e-07,11.2762163170354,"RAPH1_HUMAN",50,44.2773026342154,1.89531851877394e-10,4.04720826976439e-08,0.519473789999996,"Up in D2BM",7.39284444619354,"RAPH1","RAPH1_HUMAN",-0.519473789999996
0.7331779025,11.47765576875,37.1656346032094,1.91340694497402e-09,3.22562142783721e-07,12.6945327197084,"GTPB4_HUMAN",32,-44.1998691678185,1.92061135117542e-10,4.04720826976439e-08,-0.7331779025,"Up in D1C",7.39284444619354,"GTPBP4","GTPB4_HUMAN",0.7331779025
-0.610620022500001,13.20761179875,-31.5416542768772,6.143406044091e-09,5.75364106062701e-07,11.4667695881898,"MPRI_HUMAN",109,43.8926546349603,2.02479212609062e-10,4.16267630019948e-08,0.610620022500001,"Up in D2BM",7.38062735959196,"IGF2R","MPRI_HUMAN",-0.610620022500001
-8.12477755575,10.625122189625,-43.2223479076393,6.5309358132997e-10,1.44866468342903e-07,13.7953988181837,"DKK1_HUMAN",5,43.2496401859993,2.26421401410844e-10,4.54406188688573e-08,8.12477755575,"Up in D2BM",7.34255576247531,"DKK1","DKK1_HUMAN",-8.12477755575
-0.934231517500001,10.66689503125,-36.6075380987695,2.13088529390091e-09,3.25589223471254e-07,12.5825372844117,"LIMC1_HUMAN",55,42.8010481029254,2.45021914456923e-10,4.8029993417614e-08,0.934231517500001,"Up in D2BM",7.31848747287997,"LIMCH1","LIMC1_HUMAN",-0.934231517500001
0.941234111500002,9.68963336925,41.8317221518048,8.24409824783027e-10,1.6160349797898e-07,13.5597160159328,"AJUBA_HUMAN",19,-42.516562561563,2.57711905331124e-10,4.8976045223527e-08,-0.941234111500002,"Up in D1C",7.31001628672748,"AJUBA","AJUBA_HUMAN",0.941234111500002
