"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D1CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-0.0559492109999997,9.55655312525,-0.99732505478859,0.350742496913853,0.962552091646452,-5.48458331828579,"IRS2_HUMAN",23,-1.03857290117102,0.330123616203881,0.962671346251211,-0.0559492109999997,"Non-significant",0.0165219546938003,"IRS2","IRS2_HUMAN"
0.0902590774999972,11.01367116125,1.2050395003098,0.266067567217592,0.962552091646452,-5.27798868372198,"CA122_HUMAN",5,1.03829115545065,0.330246776671792,0.962671346251211,0.0902590774999972,"Non-significant",0.0165219546938003,"C1orf122","CA122_HUMAN"
-0.0352938175000013,14.37332379875,-1.02749715834088,0.337261904864573,0.962552091646452,-5.45629116315888,"CYBP_HUMAN",18,-1.03819886845929,0.330287126164724,0.962671346251211,-0.0352938175000013,"Non-significant",0.0165219546938003,"CACYBP","CYBP_HUMAN"
0.641396760750002,9.505947470625,1.00662076198836,0.346545490514645,0.962552091646452,-5.47593293118283,"VMA21_HUMAN",3,1.03787978558721,0.330426664330371,0.962671346251211,0.641396760750002,"Non-significant",0.0165219546938003,"VMA21","VMA21_HUMAN"
-0.0728118425000002,15.45516693625,-1.02573011388235,0.338040098990643,0.962552091646452,-5.4579651139988,"1433T_HUMAN",13,-1.03784629157999,0.330441314255342,0.962671346251211,-0.0728118425000002,"Non-significant",0.0165219546938003,"YWHAQ","1433T_HUMAN"
0.0288848875000021,14.88510847125,0.968010779668246,0.364234431301751,0.962552091646452,-5.51147007624693,"DNJB1_HUMAN",26,1.03744058886307,0.330618804431708,0.962671346251211,0.0288848875000021,"Non-significant",0.0165219546938003,"DNAJB1","DNJB1_HUMAN"
0.396556854250001,7.317725181375,1.0024615194001,0.348418556267466,0.962552091646452,-5.47981076775304,"DUS1_HUMAN",8,1.0368104206898,0.330894642507591,0.962671346251211,0.396556854250001,"Non-significant",0.0165219546938003,"DUSP1","DUS1_HUMAN"
0.0630443099999969,10.94812596,1.35729012807288,0.215450531357676,0.962552091646452,-5.11082640805335,"RM48_HUMAN",6,1.03651728280744,0.331023016138243,0.962671346251211,0.0630443099999969,"Non-significant",0.0165219546938003,"MRPL48","RM48_HUMAN"
-0.0579826849999989,10.612220645,-1.06996195373696,0.318980642535135,0.962552091646452,-5.41544099059859,"RHOD_HUMAN",11,-1.036510320073,0.331026065793106,0.962671346251211,-0.0579826849999989,"Non-significant",0.0165219546938003,"RHOD","RHOD_HUMAN"
0.0370190150000003,11.37319863,0.975701273304709,0.360657091483413,0.962552091646452,-5.50447461827186,"SCAF8_HUMAN",27,1.03598843671906,0.33125471111951,0.962671346251211,0.0370190150000003,"Non-significant",0.0165219546938003,"SCAF8","SCAF8_HUMAN"
-0.0772783754999988,9.32398808,-1.01552996135943,0.342559619420015,0.962552091646452,-5.46758675556247,"BIN3_HUMAN",14,-1.03586760012483,0.331307669020444,0.962671346251211,-0.0772783754999988,"Non-significant",0.0165219546938003,"BIN3","BIN3_HUMAN"
-0.0391347399999962,12.5178622,-1.01192161959231,0.344169635059604,0.962552091646452,-5.4709735780853,"USE1_HUMAN",19,-1.03522996377158,0.33158722870758,0.962671346251211,-0.0391347399999962,"Non-significant",0.0165219546938003,"USE1","USE1_HUMAN"
0.0884706962500008,10.038499474375,1.21027074980206,0.26417416927797,0.962552091646452,-5.27244926112927,"CLN3_HUMAN",5,1.034816327863,0.331768677520682,0.962671346251211,0.0884706962500008,"Non-significant",0.0165219546938003,"CLN3","CLN3_HUMAN"
0.0435979375000031,12.19225036875,1.03993927636345,0.331822134916357,0.962552091646452,-5.444445399102,"GLYG2_HUMAN",15,1.03451313932924,0.331901725555136,0.962671346251211,0.0435979375000031,"Non-significant",0.0165219546938003,"GYG2","GLYG2_HUMAN"
-0.0614705125000015,10.30020523125,-1.16162152406713,0.282223474802583,0.962552091646452,-5.32336193678622,"BL1S4_HUMAN",8,-1.03435034779921,0.331973180345177,0.962671346251211,-0.0614705125000015,"Non-significant",0.0165219546938003,"BLOC1S4","BL1S4_HUMAN"
0.0158750975000004,15.71721804125,0.81848385539105,0.439167646836215,0.962552091646452,-5.63883924711258,"PDLI5_HUMAN",37,1.03422285010418,0.332029151795884,0.962671346251211,0.0158750975000004,"Non-significant",0.0165219546938003,"PDLIM5","PDLI5_HUMAN"
-0.0583570050000013,13.4772852675,-1.27588160955617,0.241375912091741,0.962552091646452,-5.20170128962555,"PHF5A_HUMAN",7,-1.03421320090219,0.332033388090801,0.962671346251211,-0.0583570050000013,"Non-significant",0.0165219546938003,"PHF5A","PHF5A_HUMAN"
0.0737454890000002,8.67215573775,1.00755397516382,0.346126302470298,0.962552091646452,-5.47506123081491,"SMAG2_HUMAN",16,1.03408027745089,0.332091749821825,0.962671346251211,0.0737454890000002,"Non-significant",0.0165219546938003,"SAMD4B","SMAG2_HUMAN"
