"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
2.4535007475,13.16191506375,80.8978746699472,6.59524365380441e-12,7.25007356252193e-09,18.1912785155631,"CAVN1_HUMAN",13,70.3574009393339,4.27568872864674e-12,1.89683054177702e-09,2.4535007475,"Up in D8C",8.72197146619012,"CAVIN1","CAVN1_HUMAN"
1.72161436325,10.422084570875,60.7282486315561,5.17013511697279e-11,1.84453172030244e-08,16.308463675079,"ITA2_HUMAN",31,69.1854049652501,4.8651957294762e-12,2.01548060191411e-09,1.72161436325,"Up in D8C",8.69562137737806,"ITGA2","ITA2_HUMAN"
1.3656938075,13.02409565625,56.4757471538722,8.7048619519663e-11,2.15803768803306e-08,15.801456949488,"CADH2_HUMAN",34,68.6089036982943,5.18849649439187e-12,2.01548060191411e-09,1.3656938075,"Up in D8C",8.69562137737806,"CDH2","CADH2_HUMAN"
1.0202658175,14.26737392125,46.3576170180034,3.58674372919265e-10,4.51233774527834e-08,14.3753031733235,"MYO1C_HUMAN",72,68.4860677317338,5.2604784959201e-12,2.01548060191411e-09,1.0202658175,"Up in D8C",8.69562137737806,"MYO1C","MYO1C_HUMAN"
-2.01455402,12.92295456,-67.338307335833,2.46260292540888e-11,1.15318222545952e-08,17.0106021640383,"HMOX1_HUMAN",18,-67.0464360890053,6.19388120640693e-12,2.17630586039637e-09,-2.01455402,"Up in D1C",8.66228006846482,"HMOX1","HMOX1_HUMAN"
2.1126894925,12.12898922125,59.2570479270701,6.16512171228255e-11,1.92465966343813e-08,16.1383759435478,"PCSK6_HUMAN",46,67.0425758338082,6.19662363857075e-12,2.17630586039637e-09,2.1126894925,"Up in D8C",8.66228006846482,"PCSK6","PCSK6_HUMAN"
1.560869693,10.4494676585,58.281201943532,6.94535413175672e-11,2.08565916373383e-08,16.0225145691021,"EPHA2_HUMAN",28,65.7966679987188,7.15792856307969e-12,2.41336719432795e-09,1.560869693,"Up in D8C",8.61737659506674,"EPHA2","EPHA2_HUMAN"
2.1480872675,12.69575130875,61.9175724127797,4.49826175155186e-11,1.77731074525507e-08,16.4420832307023,"HRG_HUMAN",22,64.9590907828288,7.89879374446425e-12,2.56072817200343e-09,2.1480872675,"Up in D8C",8.5916365205806,"HRG","HRG_HUMAN"
2.54811668525,11.031885624875,61.6526656802304,4.63884641067879e-11,1.77731074525507e-08,16.412614031464,"ANXA3_HUMAN",21,64.0325799263814,8.82106394373993e-12,2.75380548080681e-09,2.54811668525,"Up in D8C",8.5600667400398,"ANXA3","ANXA3_HUMAN"
3.3267626775,12.49078798375,69.6335926157154,1.93588390695602e-11,1.09397759051797e-08,17.2329850451922,"TSK_HUMAN",11,63.484820323293,9.42327280347571e-12,2.83674165930346e-09,3.3267626775,"Up in D8C",8.54718021339259,"TSKU","TSK_HUMAN"
