"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015748","GO:0015748","organophosphate ester transport","4/21","149/18614",2.12266111319493e-05,0.000335109477870349,0.000210602211230763,"345/335/344/341",4
"GO:0042304","GO:0042304","regulation of fatty acid biosynthetic process","3/21","50/18614",2.34422929867626e-05,0.000356698274107303,0.000224169861582544,"345/344/341",3
"GO:0032368","GO:0032368","regulation of lipid transport","4/21","153/18614",2.35555464033125e-05,0.000356698274107303,0.000224169861582544,"345/335/344/341",4
"GO:0006633","GO:0006633","fatty acid biosynthetic process","4/21","161/18614",2.8770324745428e-05,0.000426951619222151,0.00026832113394157,"2194/345/344/341",4
"GO:0045806","GO:0045806","negative regulation of endocytosis","3/21","56/18614",3.30101071185097e-05,0.0004802646957242,0.000301826160030956,"345/344/341",3
"GO:0046890","GO:0046890","regulation of lipid biosynthetic process","4/21","182/18614",4.64662490911543e-05,0.00065052748727616,0.000408829162807971,"345/344/5105/341",4
"GO:1905952","GO:1905952","regulation of lipid localization","4/21","182/18614",4.64662490911543e-05,0.00065052748727616,0.000408829162807971,"345/335/344/341",4
"GO:0046503","GO:0046503","glycerolipid catabolic process","3/21","64/18614",4.93280974464673e-05,0.000665480878277795,0.000418226740072441,"345/344/341",3
"GO:1905953","GO:1905953","negative regulation of lipid localization","3/21","64/18614",4.93280974464673e-05,0.000665480878277795,0.000418226740072441,"345/344/341",3
"GO:0034379","GO:0034379","very-low-density lipoprotein particle assembly","2/21","11/18614",6.62667050294565e-05,0.000878033841640298,0.000551807336993406,"345/341",2
"GO:0046470","GO:0046470","phosphatidylcholine metabolic process","3/21","76/18614",8.25103651251146e-05,0.00107408229689184,0.000675015544790873,"335/341/63874",3
"GO:0030100","GO:0030100","regulation of endocytosis","4/21","214/18614",8.71941548925172e-05,0.00111548384362496,0.000701034675451636,"345/344/341/7018",4
"GO:0042180","GO:0042180","cellular ketone metabolic process","4/21","216/18614",9.03908515972479e-05,0.0011367798624603,0.000714418327521513,"130013/345/344/341",4
"GO:0010896","GO:0010896","regulation of triglyceride catabolic process","2/21","13/18614",9.38504178310514e-05,0.001160616833844,0.000729398861388698,"345/344",2
"GO:0060191","GO:0060191","regulation of lipase activity","3/21","89/18614",0.000132038006635138,0.00160610165447987,0.00100936733286223,"345/344/341",3
"GO:0019217","GO:0019217","regulation of fatty acid metabolic process","3/21","95/18614",0.000160232864862771,0.00189200573546418,0.00118904602186215,"345/344/341",3
"GO:0032488","GO:0032488","Cdc42 protein signal transduction","2/21","17/18614",0.000163191869366183,0.00189200573546418,0.00118904602186215,"345/335",2
